source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,relevance_note
AIProdDecrease2024,AI Assisted Programming Decreases the Productivity of Experienced Developers by Increasing Technical Debt and Maintenance Burden,Various,2026,Preprint,Software Engineering Venue,https://arxiv.org/abs/2510.10165v3,data/raw/AI_Assisted_Programming_Decreases_the_Productivity_of_Experienced_Developers_by_Increasing_the_Technical_Debt_and_Maintenance_Burden.pdf,Examines negative productivity impacts and technical debt accumulation from AI coding assistants.
AIReview2025,A Review of Research on AI Assisted Code Generation and AI Driven Code Review,Various,2025,Peer-reviewed,Journal Review,https://www.researchgate.net/publication/398105387_A_Review_of_Research_on_AI-Assisted_Code_Generation_and_AI-Driven_Code_Review,data/raw/A_Review_of_Research_on_AI_Assisted_Code_Generation_and_AI_Driven_Code_Review.pdf,Systematic review of AI code generation and review literature.
CopilotQuality2022,Assessing the Quality of GitHub Copilot’s Code Generation,Various,2022,Peer-reviewed,ACM,https://dl.acm.org/doi/10.1145/3558489.3559072,data/raw/Assessing_the_quality_of_GitHub_copilots_code_generation.pdf,Empirical evaluation of correctness and reliability of Copilot-generated code.
DevExperienceGenAI2025,Developers’ Experience with Generative AI: First Insights from an Empirical Mixed Methods Field Study,Various,2025,Preprint,Empirical SE / CHI Workshop,https://arxiv.org/abs/2512.19926,data/raw/Developers_Experience_with_Generative_AI__First_Insights_from_an_Empirical_Mixed_Methods_Field_Study.pdf,Field study examining developer perceptions and workflow changes with generative AI.
EmpiricalToolAnalysis2025,Empirical Analysis of AI Assisted Code Generation Tools Impact on Code Quality Security and Developer Productivity,Various,2025,Preprint,Software Engineering Venue,https://www.researchgate.net/publication/397890586_Empirical_Analysis_of_AI-Assisted_Code_Generation_Tools_Impact_on_Code_Quality_Security_and_Developer_Productivity,data/raw/Empirical_Analysis_of_AI_Assisted_Code_Generation_Tools_Impact_on_Code_Quality_Security_and_Developer_Productivity.pdf,Controlled experiment comparing productivity and quality impacts of multiple AI coding tools.
CodeQualityComparison2023,Evaluating the Code Quality of AI Assisted Code Generation Tools: An Empirical Study on GitHub Copilot Amazon CodeWhisperer and ChatGPT,Various,2023,Peer-reviewed,Software Engineering Venue,https://arxiv.org/abs/2304.10778,data/raw/Evaluating_the_Code_Quality_of_AI_Assisted_Code_Generation_Tools_An_Empirical_Study_on_GitHub_Copilot_Amazon_CodeWhisperer_and_ChatGPT.pdf,Compares code quality across multiple AI coding assistants.
EnterpriseImpact2024,Examining the Use and Impact of an AI Code Assistant on Developer Productivity and Experience in the Enterprise,Various,2024,Preprint,Industry/Empirical Study,https://arxiv.org/html/2412.06603v2,data/raw/Examining_the_Use_and_Impact_of_an_AI_Code_Assistant_on_Developer_Productivity_and_Experience_in_the_Enterprise.pdf,Enterprise-level field study on AI coding assistant productivity and developer experience.
ExpectationVsExperience2022,Expectation vs Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,Various,2025,Peer-reviewed,CHI / HCI Venue,https://tianyi-zhang.github.io/files/chi2022-lbw-copilot.pdf,data/raw/Expectation_vs_Experience_Evaluating_the_Usability_of_Code_Generation_Tools_Powered_by_Large_Language_Models.pdf,Usability study comparing expectations and real-world use of LLM code generation tools.
SkillFormation2026,How AI Impacts Skill Formation,Various,2026,Preprint,arXiv,https://arxiv.org/abs/2601.20245,data/raw/How_AI_Impacts_Skill_Formation.pdf,Investigates how AI assistance affects developer learning and skill acquisition.
CopilotCACM2022,Measuring GitHub Copilot’s Impact on Productivity,GitHub/Microsoft,2024,Peer-reviewed,CACM,https://cacm.acm.org/research/measuring-github-copilots-impact-on-productivity/,data/raw/Measuring_GitHub_Copilots_Impact_on_Productivity.pdf,Industry-style analysis of Copilot productivity improvements based on observational data.
CopilotRobustness2023,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,Various,2023,Peer-reviewed,ICSE,https://arxiv.org/abs/2302.00438,data/raw/On_the_Robustness_of_Code_Generation_Techniques_An_Empirical_Study_on_GitHub_Copilot.pdf,Evaluates robustness of Copilot under varied input prompts.
PerformanceAnalysis2026,Performance Analysis of AI Generated Code: A Case Study of Copilot Chat CodeLLaMa and DeepSeek Coder Models,Various,2026,Peer-reviewed,Empirical Software Engineering,https://link.springer.com/article/10.1007/s10664-025-10776-1,data/raw/Performance_analysis_of_AI_generated_code_A_case_study_of_Copilot_Copilot_Chat_CodeLlaMa_and_DeepSeek_Coder_models.pdf,Analyzes performance and efficiency of AI-generated code across multiple models.
NoviceProgramming2024,The Good and Bad of AI Tools in Novice Programming Education,Various,2024,Peer-reviewed,Education Sciences (MDPI),https://www.mdpi.com/2227-7102/14/10/1089?type=check_update&version=2,data/raw/The_Good_and_Bad_of_AI_Tools_in_Novice_Programming_Education.pdf,Examines learning outcomes of novice programmers using AI tools.
CopilotExperiment2023,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,Various,2023,Preprint,arXiv,https://arxiv.org/abs/2302.06590,data/raw/The_Impact_of_AI_on_Developer_Productivity_Evidence_from_GitHub_Copilot.pdf,Controlled experiment measuring Copilot’s effect on task completion time.
OpenSourceImpact2024,The Impact of Generative AI on Collaborative Open Source Software Development: Evidence from GitHub Copilot,Various,2024,Preprint,Software Engineering Venue,https://arxiv.org/abs/2410.02091,data/raw/The_Impact_of_Generative_AI_on_Collaborative_Open_Source_Software_Development_Evidence_from_GitHub_Copilot.pdf,Studies Copilot’s influence on collaborative open-source development productivity.
