query_id,query_type,num_structured_citations,has_correct_citation_format,has_fabricated_reference_style,mentions_insufficient_evidence,answer_word_count,manual_groundedness,manual_citation_score,manual_usefulness,failure_tag,notes
D1,direct,5,True,False,True,93,2,3,2,contradictory_abstention,"Says insufficient evidence but still answers."
D2,direct,5,True,True,True,97,2,1,2,fabricated_reference_style,"Fabricated reference style detected."
D3,direct,0,False,False,True,156,4,4,2,over_abstention,"Clean abstention but limited usefulness."
D4,direct,4,True,False,False,199,3,2,3,citation_inconsistency,"Minor citation inconsistency."
D5,direct,0,False,False,True,90,4,4,2,over_abstention,"Correct abstention."
D6,direct,3,True,False,False,140,3,3,3,partial_grounding,"Mostly grounded."
D7,direct,0,False,False,True,91,4,4,2,over_abstention,"Correct abstention."
D8,direct,0,False,False,True,68,4,4,2,over_abstention,"Correct abstention."
D9,direct,0,False,False,True,100,4,4,2,over_abstention,"Correct abstention."
D10,direct,1,True,False,False,185,2,1,3,invalid_inline_citation,"Invalid citation style in body."
S1,synthesis,0,False,True,False,235,2,1,2,fabricated_reference_style,"Fabricated reference style."
S2,synthesis,0,False,False,True,82,4,4,2,over_abstention,"Correct abstention."
S3,synthesis,0,False,False,True,80,4,4,2,over_abstention,"Correct abstention."
S4,synthesis,0,False,False,True,76,4,4,2,over_abstention,"Correct abstention."
S5,synthesis,1,True,False,True,157,3,2,3,partial_citation_support,"Partially supported synthesis."
E1,edge,0,False,False,True,85,4,4,2,correct_refusal,"Correct refusal behavior."
E2,edge,2,True,False,True,88,3,3,2,mixed_abstention,"Cites but still claims insufficient evidence."
E3,edge,0,False,False,True,149,4,4,2,correct_refusal,"Correct refusal behavior."
E4,edge,0,False,False,True,135,4,4,2,correct_refusal,"Correct refusal behavior."
E5,edge,0,False,False,True,111,4,4,2,correct_refusal,"Correct refusal behavior."
