Run_ID,Task_ID,Test_Case_ID,Paper_Title,Prompt_ID,Model,Groundedness_Score (1-4),Citation_Correctness_Score (1-4),Usefulness_Score (1-4),Failure_Tags,Notes
1,T1,T1-A,Impact of AI on Developer Productivity,A,GPT-5.2 Auto,3,2,4,"Missing_Citations
Minor_Overgeneralization","The summary is largely faithful to the paper’s content and correctly captures the experiment design, main quantitative result (≈55.8% faster), and key limitations.

However, several specific claims (e.g., heterogeneous effects by age and workload, underestimation of gains, willingness to pay) are presented confidently without explicit grounding or citation, which lowers groundedness slightly.

No citations are provided at all, which is acceptable structurally for Prompt A but weakens citation correctness under your rubric.

Overall, this is a very clear, well-structured, and genuinely useful triage summary that a reader could rely on for high-level understanding, even if it lacks explicit sourcing discipline."
2,T1,T1-A,Impact of AI on Developer Productivity,B,GPT-5.2 Auto,3,3,4,"Minor_Overgeneralization
Missing_NotSpecified","The response is largely faithful to the paper and correctly reports the experimental design, core quantitative result (55.8% faster), and main limitations, showing strong grounding overall.

However, for Prompt B, the model should have used “Not specified in the paper.” more explicitly (e.g., when summarizing heterogeneous effects and age ranges), as some phrasing slightly smooths over uncertainty rather than flagging it.

No explicit citations are included, but the content remains internally consistent with the paper, resulting in a mid-to-high citation correctness score under your rubric.

The output is concise, structured exactly as required, and highly useful as a triage summary, demonstrating that Prompt B improves clarity and discipline compared to Prompt A while still leaving minor guardrail gaps."
3,T1,T1-A,Impact of AI on Developer Productivity,A,Gemini 3 Fast,2,2,3,"Overgeneralization
Ungrounded_Detail
Speculative_Limitation
Missing_Citations","While much of the summary aligns with the paper’s core results, several details are overstated or insufficiently grounded, including precise demographic characterizations (e.g., geographic concentration, education level) and framing claims like “massive speed increase,” which introduce interpretive language not used in the paper.

Some findings (e.g., age ranges, willingness-to-pay figures) are presented with exact numbers without explicit grounding in the provided text, weakening confidence in factual fidelity.

No citations are provided, which limits citation correctness even under Prompt A.

The output is readable and informative, but the added framing, interpretive tone, and speculative limitations (e.g., labor market impact) reduce its reliability compared to a stricter triage summary."
4,T1,T1-A,Impact of AI on Developer Productivity,B,Gemini 3 Fast,2,2,3,"Guardrail_Violation
Ungrounded_Detail
Speculative_Limitation
Missing_NotSpecified","Although the overall structure matches the five required fields, the response violates Prompt B guardrails by introducing unsupported demographic details (e.g., specific locations, education levels) and interpretive framing (“significantly reduce,” “benefited more”) without explicitly flagging uncertainty or using “Not specified in the paper.”

Several limitation statements (e.g., labor market distributions, job task changes) go beyond what is directly measured and should have been marked as not specified, reducing groundedness.

No citations are provided, and claims requiring explicit grounding are presented as facts, weakening citation correctness under the rubric."
5,T1,T1-B,How AI Impacts Skill Formation,A,GPT-5.2 Auto,3,2,4,"Missing_Citations
Minor_Interpretive_Language","The summary accurately reflects the paper’s core focus on skill formation vs. productivity, the Trio learning setup, the experimental design, and the main result that AI use reduced learning outcomes despite limited productivity gains.

Some phrasing (“impair the development,” “cognitive engagement is key,” “AI-enhanced productivity is not a substitute for learning”) is interpretive and slightly extrapolative, which is acceptable for Prompt A but prevents a top groundedness score.

No citations are provided, which lowers citation correctness under the rubric even though the factual content aligns well with the paper.

Overall, this is a clear, well-structured, and highly useful triage summary that would effectively orient a reader to the paper’s contributions and implications."
6,T1,T1-B,How AI Impacts Skill Formation,B,GPT-5.2 Auto,4,3,4,Missing_Citations,"The response stays tightly grounded in the paper’s reported design and results, avoids speculative language, and does not introduce unsupported demographic or methodological details.

It correctly refrains from overstating productivity gains and clearly distinguishes between task completion and learning outcomes, which reflects proper uncertainty handling.

While explicit citations are not included, the claims are internally consistent with the paper and framed cautiously, warranting a strong citation correctness score under Prompt B.

Overall, this is a clean, disciplined triage summary that demonstrates strong compliance with Prompt B guardrails and high usefulness for researchers."
7,T1,T1-B,How AI Impacts Skill Formation,A,Gemini 3 Fast,2,3,2,"Interpretive_Overreach
Ungrounded_Claims
Missing_Citations","The summary captures the paper’s general theme and experimental setup, but repeatedly extends beyond what is strictly supported by the paper, especially in interpretive framing such as “cost of convenience,” “safety gap,” and implications about high-stakes environments.

Several details are presented with strong causal or normative language (e.g., erosion of debugging skills implying future supervision failure) that are not directly measured or claimed in the paper, reducing groundedness.

No citations are provided, which limits citation correctness even under Prompt A.

Despite these issues, the output is readable and moderately useful for orientation, though it blends empirical findings with editorial interpretation more than a neutral triage summary should."
8,T1,T1-B,How AI Impacts Skill Formation,B,Gemini 3 Fast,2,2,3,"Guardrail_Violation
Ungrounded_Detail
Overprecision
Missing_NotSpecified","While the response follows the required five-field structure, it repeatedly introduces details that are not clearly specified in the paper (e.g., item response theory scoring, ensuring all treatment participants finished, specific psychometric framing), which violates Prompt B’s “do not infer” constraint.

Several quantitative and methodological claims are presented with high precision (effect sizes, scoring methods, interaction taxonomy framing) without explicitly marking uncertainty or using “Not specified in the paper.”

No citations are provided, and claims that would require explicit grounding are stated as facts, lowering citation correctness."
9,T2,T2-A,The Good and Bad of AI Tools in Novice Programming Education,A,GPT-5.2 Auto,2,2,3,"Citation_Format_Error
Overgeneralized_Claims
Evidence_Paraphrase_Drift","While the claims broadly reflect themes present in the paper, several are overgeneralized (e.g., “provide meaningful learning benefits”) and move beyond what is tightly supported by the quoted snippets.

The “supporting quotes” are often loosely paraphrased summaries rather than verbatim or closely bounded excerpts, weakening the claim–evidence linkage required even under Prompt A.

Citations are provided only as author/year and do not clearly reference specific sections or evidence locations, reducing citation correctness.

The table is readable and moderately useful for orientation, but it lacks the precision and traceability needed for high-confidence claim–evidence extraction."
10,T2,T2-A,The Good and Bad of AI Tools in Novice Programming Education,B,GPT-5.2 Auto,4,3,4,Minor_Citation_Format_Ambiguity,"Each claim is directly supported by a clearly matching evidence snippet, and the snippets are either verbatim or tightly bounded paraphrases, satisfying Prompt B’s strongest requirement.

The model avoids speculation and does not introduce claims beyond what the cited results sections support, showing strong grounding and good uncertainty discipline.

Citation format follows the required (source_id, chunk_id) structure, though the chunk identifiers (e.g., Results-3.1) are section-level rather than true chunk IDs, creating slight ambiguity but not fabrication.

Overall, this is a high-quality claim–evidence extraction that demonstrates the benefit of Prompt B guardrails in reducing hallucination and improving traceability."
